# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 5.000000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 1.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Dimensionless strain (1 yr integration)
# Astrophysical Noise is No White Dwarf Noise
#
#
#
# f [Hz] 	 h [dimensionless strain]
2.091061e-05    3.195166e-20
2.139783e-05    3.051319e-20
2.189640e-05    2.913998e-20
2.240659e-05    2.782811e-20
2.292866e-05    2.657559e-20
2.346290e-05    2.537906e-20
2.400958e-05    2.423633e-20
2.456900e-05    2.314457e-20
2.514147e-05    2.210278e-20
2.572726e-05    2.110803e-20
2.632671e-05    2.015742e-20
2.694012e-05    1.924987e-20
2.756782e-05    1.838331e-20
2.821015e-05    1.755568e-20
2.886745e-05    1.676512e-20
2.954006e-05    1.601059e-20
3.022834e-05    1.528964e-20
3.093267e-05    1.460138e-20
3.165340e-05    1.394393e-20
3.239092e-05    1.331615e-20
3.314563e-05    1.271674e-20
3.391792e-05    1.214414e-20
3.470821e-05    1.159749e-20
3.551691e-05    1.107537e-20
3.634445e-05    1.057670e-20
3.719128e-05    1.010055e-20
3.805783e-05    9.645840e-21
3.894459e-05    9.211583e-21
3.985199e-05    8.796866e-21
4.078054e-05    8.400823e-21
4.173073e-05    8.022604e-21
4.270306e-05    7.661435e-21
4.369804e-05    7.316502e-21
4.471621e-05    6.987109e-21
4.575809e-05    6.672555e-21
4.682425e-05    6.372148e-21
4.791526e-05    6.085274e-21
4.903169e-05    5.811307e-21
5.017412e-05    5.549690e-21
5.134318e-05    5.299827e-21
5.253948e-05    5.061233e-21
5.376365e-05    4.833368e-21
5.501634e-05    4.615766e-21
5.629822e-05    4.407966e-21
5.760997e-05    4.209516e-21
5.895228e-05    4.019999e-21
6.032587e-05    3.839016e-21
6.173146e-05    3.666181e-21
6.316980e-05    3.501127e-21
6.464166e-05    3.343505e-21
6.614781e-05    3.192978e-21
6.768906e-05    3.049227e-21
6.926621e-05    2.911950e-21
7.088012e-05    2.780851e-21
7.253162e-05    2.655655e-21
7.422160e-05    2.536097e-21
7.595097e-05    2.421920e-21
7.772063e-05    2.312882e-21
7.953152e-05    2.208756e-21
8.138461e-05    2.109316e-21
8.328086e-05    2.014353e-21
8.522131e-05    1.923665e-21
8.720696e-05    1.837061e-21
8.923889e-05    1.754354e-21
9.131815e-05    1.675372e-21
9.344587e-05    1.599945e-21
9.562320e-05    1.527914e-21
9.785113e-05    1.459128e-21
1.001311e-04    1.393437e-21
1.024642e-04    1.330702e-21
1.048516e-04    1.270793e-21
1.072946e-04    1.213582e-21
1.097946e-04    1.158944e-21
1.123528e-04    1.106768e-21
1.149706e-04    1.056940e-21
1.176494e-04    1.009355e-21
1.203907e-04    9.639132e-22
1.231958e-04    9.205173e-22
1.260662e-04    8.790751e-22
1.290035e-04    8.394984e-22
1.320094e-04    8.017025e-22
1.350852e-04    7.656093e-22
1.382326e-04    7.311410e-22
1.414535e-04    6.982241e-22
1.447493e-04    6.667895e-22
1.481220e-04    6.367698e-22
1.515732e-04    6.081021e-22
1.551049e-04    5.807247e-22
1.587189e-04    5.545795e-22
1.624170e-04    5.296122e-22
1.662013e-04    5.057683e-22
1.700738e-04    4.829980e-22
1.740365e-04    4.612530e-22
1.780916e-04    4.404869e-22
1.822411e-04    4.206557e-22
1.864874e-04    4.017174e-22
1.908325e-04    3.836317e-22
1.952788e-04    3.663605e-22
1.998289e-04    3.498664e-22
2.044849e-04    3.341153e-22
2.092493e-04    3.190732e-22
2.141249e-04    3.047082e-22
2.191140e-04    2.909900e-22
2.242193e-04    2.778895e-22
2.294437e-04    2.653787e-22
2.347897e-04    2.534313e-22
2.402603e-04    2.420217e-22
2.458584e-04    2.311259e-22
2.515869e-04    2.207205e-22
2.574488e-04    2.107838e-22
2.634474e-04    2.012943e-22
2.695858e-04    1.922321e-22
2.758671e-04    1.835780e-22
2.822948e-04    1.753135e-22
2.888722e-04    1.674212e-22
2.956030e-04    1.598841e-22
3.024905e-04    1.526865e-22
3.095385e-04    1.458129e-22
3.167508e-04    1.392488e-22
3.241311e-04    1.329803e-22
3.316833e-04    1.269941e-22
3.394115e-04    1.212774e-22
3.473199e-04    1.158182e-22
3.554124e-04    1.106047e-22
3.636935e-04    1.056261e-22
3.721676e-04    1.008717e-22
3.808391e-04    9.633135e-23
3.897126e-04    9.199556e-23
3.987929e-04    8.785498e-23
4.080848e-04    8.390089e-23
4.175932e-04    8.012494e-23
4.273231e-04    7.651905e-23
4.372798e-04    7.307559e-23
4.474684e-04    6.978725e-23
4.578944e-04    6.664708e-23
4.685633e-04    6.364837e-23
4.794809e-04    6.078476e-23
4.906528e-04    5.805019e-23
5.020849e-04    5.543887e-23
5.137835e-04    5.294524e-23
5.257547e-04    5.056398e-23
5.380048e-04    4.829009e-23
5.505403e-04    4.611870e-23
5.633679e-04    4.404524e-23
5.764943e-04    4.206528e-23
5.899266e-04    4.017463e-23
6.036719e-04    3.836926e-23
6.177375e-04    3.664536e-23
6.321308e-04    3.499926e-23
6.468595e-04    3.342747e-23
6.619313e-04    3.192665e-23
6.773543e-04    3.049362e-23
6.931367e-04    2.912534e-23
7.092867e-04    2.781890e-23
7.258131e-04    2.657153e-23
7.427246e-04    2.538058e-23
7.600301e-04    2.424352e-23
7.777387e-04    2.315795e-23
7.958600e-04    2.212155e-23
8.144035e-04    2.113213e-23
8.333792e-04    2.018758e-23
8.527969e-04    1.928591e-23
8.726671e-04    1.842519e-23
8.930002e-04    1.760361e-23
9.138071e-04    1.681941e-23
9.350988e-04    1.607093e-23
9.568866e-04    1.535659e-23
9.791821e-04    1.467486e-23
1.001997e-03    1.402430e-23
1.025344e-03    1.340351e-23
1.049234e-03    1.281122e-23
1.073681e-03    1.224611e-23
1.098698e-03    1.170704e-23
1.124298e-03    1.119281e-23
1.150493e-03    1.070236e-23
1.177300e-03    1.023464e-23
1.204731e-03    9.788638e-24
1.232802e-03    9.363420e-24
1.261526e-03    8.958098e-24
1.290920e-03    8.571768e-24
1.320997e-03    8.203649e-24
1.351777e-03    7.852916e-24
1.383273e-03    7.518853e-24
1.415504e-03    7.200718e-24
1.448485e-03    6.897841e-24
1.482235e-03    6.609571e-24
1.516771e-03    6.335287e-24
1.552112e-03    6.074391e-24
1.588276e-03    5.826328e-24
1.625282e-03    5.590552e-24
1.663152e-03    5.366546e-24
1.701904e-03    5.153818e-24
1.741557e-03    4.951905e-24
1.782136e-03    4.760347e-24
1.823660e-03    4.578719e-24
1.866150e-03    4.406611e-24
1.909632e-03    4.243623e-24
1.954126e-03    4.089378e-24
1.999657e-03    3.943515e-24
2.046250e-03    3.805683e-24
2.093928e-03    3.675544e-24
2.142716e-03    3.552779e-24
2.192641e-03    3.437071e-24
2.243730e-03    3.328121e-24
2.296009e-03    3.225636e-24
2.349506e-03    3.129333e-24
2.404249e-03    3.038939e-24
2.460268e-03    2.954189e-24
2.517593e-03    2.874822e-24
2.576253e-03    2.800590e-24
2.636279e-03    2.731249e-24
2.697704e-03    2.666561e-24
2.760561e-03    2.606295e-24
2.824882e-03    2.550230e-24
2.890701e-03    2.498146e-24
2.958055e-03    2.449835e-24
3.026978e-03    2.405091e-24
3.097506e-03    2.363718e-24
3.169678e-03    2.325527e-24
3.243532e-03    2.290332e-24
3.319106e-03    2.257960e-24
3.396441e-03    2.228242e-24
3.475578e-03    2.201015e-24
3.556559e-03    2.176126e-24
3.639427e-03    2.153430e-24
3.724226e-03    2.132787e-24
3.811000e-03    2.114066e-24
3.899796e-03    2.097145e-24
3.990661e-03    2.081906e-24
4.083644e-03    2.068241e-24
4.178793e-03    2.056048e-24
4.276159e-03    2.045233e-24
4.375793e-03    2.035707e-24
4.477749e-03    2.027388e-24
4.582080e-03    2.020203e-24
4.688843e-03    2.014082e-24
4.798093e-03    2.008962e-24
4.909889e-03    2.004786e-24
5.024289e-03    2.001501e-24
5.141355e-03    1.999061e-24
5.261149e-03    1.997424e-24
5.383733e-03    1.996552e-24
5.509175e-03    1.996413e-24
5.637538e-03    1.996978e-24
5.768893e-03    1.998222e-24
5.903308e-03    2.000125e-24
6.040855e-03    2.002671e-24
6.181607e-03    2.005845e-24
6.325639e-03    2.009638e-24
6.473025e-03    2.014044e-24
6.623848e-03    2.019060e-24
6.778182e-03    2.024686e-24
6.936115e-03    2.030924e-24
7.097726e-03    2.037782e-24
7.263103e-03    2.045269e-24
7.432333e-03    2.053398e-24
7.605507e-03    2.062184e-24
7.782715e-03    2.071646e-24
7.964053e-03    2.081807e-24
8.149615e-03    2.092693e-24
8.339501e-03    2.104333e-24
8.533811e-03    2.116760e-24
8.732649e-03    2.130010e-24
8.936120e-03    2.144125e-24
9.144331e-03    2.159150e-24
9.357394e-03    2.175134e-24
9.575422e-03    2.192134e-24
9.798530e-03    2.210208e-24
1.002684e-02    2.229424e-24
1.026046e-02    2.249854e-24
1.049953e-02    2.271578e-24
1.074416e-02    2.294683e-24
1.099451e-02    2.319263e-24
1.125068e-02    2.345425e-24
1.151282e-02    2.373282e-24
1.178107e-02    2.402962e-24
1.205557e-02    2.434602e-24
1.233647e-02    2.468356e-24
1.262390e-02    2.504390e-24
1.291804e-02    2.542892e-24
1.321903e-02    2.584064e-24
1.352703e-02    2.628134e-24
1.384222e-02    2.675352e-24
1.416473e-02    2.725996e-24
1.449477e-02    2.780377e-24
1.483250e-02    2.838836e-24
1.517810e-02    2.901758e-24
1.553175e-02    2.969570e-24
1.589364e-02    3.042747e-24
1.626396e-02    3.121824e-24
1.664291e-02    3.207396e-24
1.703069e-02    3.300128e-24
1.742751e-02    3.400764e-24
1.783357e-02    3.510133e-24
1.824909e-02    3.629154e-24
1.867429e-02    3.758849e-24
1.910940e-02    3.900332e-24
1.955465e-02    4.054818e-24
2.001028e-02    4.223603e-24
2.047651e-02    4.408035e-24
2.095362e-02    4.609453e-24
2.144183e-02    4.829103e-24
2.194143e-02    5.067982e-24
2.245267e-02    5.326608e-24
2.297581e-02    5.604682e-24
2.351115e-02    5.900620e-24
2.405896e-02    6.210945e-24
2.461953e-02    6.529578e-24
2.519317e-02    6.847174e-24
2.578017e-02    7.150749e-24
2.638084e-02    7.424043e-24
2.699553e-02    7.649010e-24
2.762451e-02    7.808602e-24
2.826817e-02    7.890326e-24
2.892681e-02    7.889363e-24
2.960081e-02    7.809859e-24
3.029051e-02    7.663796e-24
3.099628e-02    7.467990e-24
3.171849e-02    7.240596e-24
3.245753e-02    6.998336e-24
3.321379e-02    6.754940e-24
3.398768e-02    6.520735e-24
3.477958e-02    6.302927e-24
3.558995e-02    6.106232e-24
3.641920e-02    5.933558e-24
3.726777e-02    5.786608e-24
3.813610e-02    5.666364e-24
3.902468e-02    5.573462e-24
3.993395e-02    5.508460e-24
4.086441e-02    5.472038e-24
4.181656e-02    5.465160e-24
4.279088e-02    5.489195e-24
4.378790e-02    5.546030e-24
4.480816e-02    5.638166e-24
4.585220e-02    5.768805e-24
4.692055e-02    5.941902e-24
4.801380e-02    6.162150e-24
4.913253e-02    6.434816e-24
5.027731e-02    6.765284e-24
5.144878e-02    7.158034e-24
5.264753e-02    7.614670e-24
5.387421e-02    8.130485e-24
5.512949e-02    8.689267e-24
5.641400e-02    9.257250e-24
5.772845e-02    9.779852e-24
5.907352e-02    1.018822e-23
6.044994e-02    1.042065e-23
6.185842e-02    1.045127e-23
6.329972e-02    1.030443e-23
6.477460e-02    1.004207e-23
6.628385e-02    9.736463e-24
6.782826e-02    9.449187e-24
6.940866e-02    9.224277e-24
7.102588e-02    9.091059e-24
7.268078e-02    9.070202e-24
7.437425e-02    9.179403e-24
7.610717e-02    9.437661e-24
7.788046e-02    9.867844e-24
7.969508e-02    1.049672e-23
8.155197e-02    1.134939e-23
