pl_hostname,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
GJ 163,Radial Velocity,8.631,0.061,0.11,0.035,14.97,0.4,2014-05-14,66.82
HD 23079,Radial Velocity,730.6,1.596,0.102,2.45,34.6,1.01,2014-07-23,28.9
HD 113538,Radial Velocity,663.2,1.24,0.14,0.36,15.9,0.58,2015-01-08,63.03
HD 113538,Radial Velocity,1818.,2.44,0.2,0.93,15.9,0.58,2015-01-08,63.03
KELT-15,Transit,3.329441,0.04613,0.,0.91,291.,1.18,2016-03-17,
HD 160691,Radial Velocity,4205.8,5.235,0.0985,1.814,15.28,1.08,2014-08-21,65.46
HD 160691,Radial Velocity,310.55,0.921,0.0666,0.5219,15.28,1.08,2014-08-21,65.46
HD 160691,Radial Velocity,643.25,1.497,0.128,1.08,15.28,1.08,2014-08-21,65.46
HD 160691,Radial Velocity,9.6386,0.09094,0.172,0.03321,15.28,1.08,2014-08-21,65.46
GJ 676 A,Radial Velocity,35.37,0.187,0.24,0.036,16.13,0.71,2014-05-14,61.98
GJ 676 A,Radial Velocity,3.6,0.0413,0.15,0.014,16.13,0.71,2014-05-14,61.98
GJ 676 A,Radial Velocity,1050.3,1.8,0.328,4.95,16.13,0.71,2014-05-14,61.98
bet Pic,Imaging,7665.,9.1,0.08,,19.28,1.76,2015-08-13,51.87
GJ 86,Radial Velocity,15.76491,0.113,0.0416,3.91,10.91,0.77,2014-05-14,91.63
HR 810,Radial Velocity,312.,0.91,0.15,2.13,17.24,,2015-04-30,58.
HD 28254,Radial Velocity,1116.,2.15,0.81,1.16,54.7,1.06,2014-11-19,18.29
HD 103197,Radial Velocity,47.84,0.249,0.,0.098,49.33,0.9,2014-05-14,20.27
WASP-117,Transit,10.02165,0.09459,0.302,0.2755,,1.13,2014-08-27,
HD 564,Radial Velocity,492.3,1.2,0.096,0.33,53.6,0.96,2015-01-08,18.64
WASP-99,Transit,5.75251,0.0717,0.,2.78,,1.48,2014-05-14,
HD 330075,Radial Velocity,3.38773,0.039,0.,0.62,50.2,0.7,2014-11-19,19.92
HD 85390,Radial Velocity,788.,1.52,0.41,0.132,33.96,0.76,2014-05-14,29.45
HD 213240,Radial Velocity,951.,2.03,0.45,4.5,40.75,,2015-04-30,24.54
DENIS-P J082303.1-491201,Astrometry,246.36,0.36,0.345,28.5,20.77,0.07,2014-05-14,48.16
