pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 102365,b,Radial Velocity,122.10000000,0.460000,0.340000,0.05000,9.24,0.85,2014-05-14,108.23
HD 125595,b,Radial Velocity,9.67370000,0.080900,0.000000,0.04100,27.45,0.76,2014-05-14,36.43
HD 162020,b,Radial Velocity,8.42819800,0.074000,0.277000,14.40000,31.26,0.75,2014-05-14,31.99
WASP-29,b,Transit,3.92272700,0.045700,0.030000,0.24400,70.00,0.82,2014-05-14,
HIP 67537,b,Radial Velocity,2556.50000000,4.910000,0.590000,11.10000,112.60,2.41,2017-04-27,
HD 70642,b,Radial Velocity,2068.00000000,3.230000,0.034000,1.97000,28.76,1.05,2015-03-26,34.77
2MASS J12073346-3932539,b,Imaging,,46.000000,,4.00000,52.40,0.02,2014-05-14,
HD 6434,b,Radial Velocity,22.01700000,0.148000,0.146000,0.44000,40.32,0.89,2015-11-19,24.80
2MASS J02192210-3925225,b,Imaging,,156.000000,,13.90000,39.40,0.11,2015-05-14,
WASP-7,b,Transit,4.95465800,0.061800,0.000000,0.96000,140.00,1.28,2014-05-14,
HD 147513,b,Radial Velocity,528.40000000,1.320000,0.260000,1.21000,12.87,1.11,2014-05-14,77.69
WASP-121,b,Transit,1.27492550,0.025440,0.000000,1.18300,270.00,1.35,2016-06-23,
WASP-63,b,Transit,4.37809000,0.057400,0.220000,0.38000,330.00,1.32,2014-05-14,
HD 4113,b,Radial Velocity,526.62000000,1.280000,0.903000,1.56000,44.05,0.99,2014-12-03,22.70
HIP 105854,b,Radial Velocity,184.20000000,0.810000,0.020000,8.20000,84.60,2.10,2014-06-11,11.82
HD 177565,b,Radial Velocity,44.50500000,0.246000,0.059300,0.04751,17.17,1.00,2017-06-15,58.24
HD 114613,b,Radial Velocity,3827.00000000,5.160000,0.250000,0.48000,20.48,1.36,2014-05-14,48.83
HD 187085,b,Radial Velocity,986.00000000,2.050000,0.470000,0.75000,44.98,1.22,2014-07-23,22.23
HD 208487,b,Radial Velocity,130.08000000,0.524000,0.240000,0.52000,44.00,1.13,2014-11-05,
NGTS-1,b,Transit,2.64729800,0.032600,0.016000,0.81200,224.00,0.62,2017-11-09,
WASP-45,b,Transit,3.12609600,0.040500,,1.00200,,0.90,2015-12-03,
WASP-133,b,Transit,2.17642300,0.034500,0.170000,1.16000,547.00,1.16,2016-05-05,
GQ Lup,b,Imaging,,100.000000,,20.00000,139.00,0.70,2014-05-14,
HD 117207,b,Radial Velocity,2597.00000000,3.790000,0.144000,1.88000,33.01,1.08,2014-05-14,30.29
WASP-167,b,Transit,2.02195960,0.036500,,8.00000,381.00,1.59,2017-07-27,
