pl_hostname,ra,dec
Fomalhaut,344.412689,-29.622236
OGLE-TR-056,269.147958,-29.539222
MOA 2007-BLG-400L,272.424917,-29.224153
MOA 2011-BLG-028L,270.854000,-29.213417
SWEEPS-11,269.758333,-29.198194
SWEEPS-4,269.724667,-29.189056
OGLE 2015-BLG-0966L,268.754250,-29.047111
OGLE 2003-BLG-235L,271.318125,-28.895000
HD 20782,50.014908,-28.854071
HD 164604,270.778900,-28.560644
MOA 2011-BLG-293L,268.913958,-28.476847
HD 30669,72.118690,-28.419298
OGLE 2014-BLG-124L,270.621708,-28.396250
HD 171238,278.681976,-28.072313
WASP-17,239.962306,-28.061733
OGLE 2012-BLG-0563L,271.490500,-27.712000
HD 47186,99.036613,-27.622297
HD 47186,99.036613,-27.622297
WASP-25,195.359879,-27.522200
OGLE 2013-BLG-0723L B,263.668792,-27.448111
OGLE 2011-BLG-265L,269.448833,-27.394528
MOA 2011-BLG-322L,271.223333,-27.220944
MOA 2007-BLG-192L,272.015825,-27.150075
OGLE 2012-BLG-26L,263.577917,-27.142750
OGLE 2012-BLG-26L,263.577917,-27.142750
OGLE 2011-BLG-251L,264.559083,-27.136139
HD 145377,242.901855,-27.078173
HD 192310,303.822449,-27.032976
HD 192310,303.822449,-27.032976
MOA 2009-BLG-319L,271.742208,-26.819692
HD 33283,77.004219,-26.797472
HD 216770,343.973785,-26.658764
PSR B1620-26,245.909262,-26.531594
MOA 2010-BLG-073L,272.547258,-26.522932
HD 4208,11.111043,-26.515680
HATS-13,316.961465,-26.096655
WASP-61,75.299663,-26.054144
HD 207832,328.151184,-26.026560
HD 207832,328.151184,-26.026560
HATS-8,294.941746,-25.748318
UZ For,53.869338,-25.739395
UZ For,53.869338,-25.739395
HATS-14,313.215479,-25.687334
HD 77338,135.302063,-25.527061
ROXs 12,246.615609,-25.456865
HD 134987,228.369446,-25.309347
HD 134987,228.369446,-25.309347
GJ 3293,67.148820,-25.169301
GJ 3293,67.148820,-25.169301
K2-24,242.573719,-24.990331
K2-24,242.573719,-24.990331
SR 12 AB,246.831300,-24.694553
2MASS J01225093-2439505,20.712243,-24.664049
ROXs 42 B,247.812567,-24.545471
HATS-3,312.457440,-24.428793
HD 30856,72.574425,-24.368839
OGLE 2012-BLG-358L,265.694875,-24.261000
HD 179949,288.888458,-24.179352
HD 4732,12.308117,-24.136671
HD 4732,12.308117,-24.136671
HD 86226,149.124359,-24.099390
Oph 11,245.605058,-24.087208
HD 98219,169.448135,-23.975414
WASP-20,5.160559,-23.935728
WASP-34,165.399561,-23.860636
WASP-22,52.818043,-23.819702
HD 181342,290.267639,-23.619572
HD 180902,289.823792,-23.558155
WASP-101,98.351102,-23.486210
GJ 317,130.246730,-23.456289
HATS-1,175.525336,-23.354836
HD 98649,170.215698,-23.217342
HIP 12961,41.678692,-23.086611
WASP-6,348.157246,-22.673937
HATS-2,176.739094,-22.562992
HATS-4,94.112075,-22.546885
HIP 5158,16.508533,-22.453154
HIP 5158,16.508533,-22.453154
HD 224693,359.974304,-22.428114
HD 60532,113.513252,-22.296066
HD 60532,113.513252,-22.296066
HATS-10,294.306813,-22.204477
WASP-78,63.756240,-22.116434
HD 95872,165.867114,-22.093977
HIP 78530,240.481064,-21.980389
HD 204313,322.050873,-21.726255
HD 204313,322.050873,-21.726255
HATS-5,67.222871,-21.481916
1RXS J160929.1-210524,242.376268,-21.083036
HD 204941,323.097961,-20.957422
HD 18742,45.044407,-20.802603
HD 202206,318.740692,-20.789209
HD 202206,318.740692,-20.789209
GSC 06214-00210,245.477780,-20.719202
HD 155233,257.768188,-20.654570
HD 220689,351.470795,-20.616030
HD 104067,179.791702,-20.353781
WASP-16,214.683032,-20.275484
HATS-9,290.810104,-20.166317
WASP-67,295.743840,-19.949596
HD 1666,5.218085,-19.931225
HD 11506,28.210558,-19.506975
HD 11506,28.210558,-19.506975
HD 156846,260.142944,-19.333746
WASP-68,305.095785,-19.314680
WASP-83,190.152085,-19.284243
7 CMa,99.170990,-19.255878
WASP-31,169.439021,-19.054773
HATS-6,88.146797,-19.031656
WASP-89,313.899962,-18.971106
HIP 79431,243.174057,-18.875504
HD 141937,238.073120,-18.436066
USco CTIO 108,241.475320,-18.312332
61 Vir,199.601318,-18.311195
61 Vir,199.601318,-18.311195
61 Vir,199.601318,-18.311195
WASP-55,203.758114,-17.503464
HD 125612,215.222977,-17.481522
HD 125612,215.222977,-17.481522
HD 125612,215.222977,-17.481522
HD 212771,336.762787,-17.263659
WASP-49,91.089427,-16.965294
BD-17 63,7.142942,-16.226345
HD 86264,149.240997,-15.895122
WASP-26,4.602897,-15.267305
HD 33844,78.150421,-14.951111
HD 33844,78.150421,-14.951111
PSR J1719-1438,259.791971,-14.633600
K2-21,340.303689,-14.488987
K2-21,340.303689,-14.488987
GJ 876,343.319733,-14.263700
GJ 876,343.319733,-14.263700
GJ 876,343.319733,-14.263700
GJ 876,343.319733,-14.263700
HD 33142,76.898087,-13.986480
BD-13 2130,114.288458,-13.906639
WASP-70 A,315.476951,-13.433218
HD 148427,247.117294,-13.399640
VHS J125601.92-125723.9,194.008964,-12.956031
Wolf 1061,247.575241,-12.662594
Wolf 1061,247.575241,-12.662594
Wolf 1061,247.575241,-12.662594
HD 69830,124.599777,-12.632174
HD 69830,124.599777,-12.632174
HD 69830,124.599777,-12.632174
HD 82943,143.711395,-12.129546
HD 82943,143.711395,-12.129546
HD 103774,179.231628,-12.107909
WASP-47,331.203047,-12.018885
WASP-47,331.203047,-12.018885
WASP-47,331.203047,-12.018885
WASP-47,331.203047,-12.018885
WASP-44,3.903165,-11.938115
HD 168746,275.457428,-11.922684
BD-11 4672,278.370148,-11.636039
HD 109271,188.398148,-11.621868
HD 109271,188.398148,-11.621868
WASP-50,43.688073,-10.898080
BD-10 3166,164.620003,-10.770376
HD 44219,95.059677,-10.725009
WASP-75,342.385707,-10.675560
HD 28185,66.609673,-10.550821
HD 96167,166.312790,-10.291301
HD 11964,29.290026,-10.242428
HD 11964,29.290026,-10.242428
WASP-43,154.908372,-9.806276
nu Oph,269.756622,-9.773632
nu Oph,269.756622,-9.773632
HD 168443,275.016388,-9.595722
HD 168443,275.016388,-9.595722
BD-08 2823,150.198837,-9.516680
BD-08 2823,150.198837,-9.516680
HD 106270,183.405350,-9.513381
eps Eri,53.232685,-9.458262
91 Aqr,348.972900,-9.087737
HD 38801,86.996567,-8.327700
HD 1690,5.305497,-8.281169
HD 6718,16.952761,-8.233706
HD 1461,4.674448,-8.053001
HD 1461,4.674448,-8.053001
WASP-36,131.580405,-8.026946
HD 110014,189.811523,-7.995564
K2-28,335.624384,-7.955366
GJ 581,229.861771,-7.722280
GJ 581,229.861771,-7.722280
GJ 581,229.861771,-7.722280
HD 210277,332.374451,-7.548654
HD 206610,325.853760,-7.408253
HD 106515 A,183.777359,-7.257327
WASP-77 A,37.155115,-7.060681
Qatar-2,207.655866,-6.804028
CoRoT-17,278.699254,-6.612234
WASP-35,76.081782,-6.229821
CoRoT-16,278.524691,-6.002595
BD-06 1339,88.251183,-5.994844
BD-06 1339,88.251183,-5.994844
HD 222582,355.464722,-5.985757
HD 2638,7.499466,-5.764002
HD 30562,72.151604,-5.674045
CoRoT-14,103.424211,-5.536037
HD 52265,105.075150,-5.367162
HD 126614,216.701172,-5.177780
WASP-69,315.025778,-5.094404
CoRoT-13,102.721137,-5.086445
WASP-106,166.429747,-5.079412
HD 7449,18.622173,-5.047387
HD 100777,173.964676,-4.755697
GJ 849,332.418121,-4.640729
K2-4,174.745640,-3.905585
HD 86081,149.024658,-3.808422
CoRoT-24,101.922547,-3.719301
CoRoT-24,101.922547,-3.719301
HD 16141,38.833035,-3.560602
WASP-39,217.326702,-3.444534
81 Cet,39.424168,-3.396175
HAT-P-45,274.373238,-3.381036
HD 107148,184.806213,-3.319789
CoRoT-1,102.079885,-3.102147
HAT-P-46,270.444201,-2.970947
HD 103720,179.171600,-2.778953
HD 179079,287.790955,-2.638385
HD 96063,166.185226,-2.513218
51 Eri,69.400551,-2.473548
HD 217107,344.564758,-2.395385
HD 217107,344.564758,-2.395385
HD 290327,80.839851,-2.277619
HD 114783,198.182434,-2.265040
HD 218566,347.294708,-2.260742
HD 92788,160.702209,-2.183756
WASP-80,303.167407,-2.144208
WASP-57,223.820104,-2.057665
NY Vir,204.700622,-2.030315
K2-5,169.303502,-1.877976
K2-5,169.303502,-1.877976
WASP-28,353.616152,-1.580064
HD 72659,128.513290,-1.568217
HD 99109,171.072327,-1.529076
K2-3,172.334949,-1.454787
K2-3,172.334949,-1.454787
K2-3,172.334949,-1.454787
CoRoT-12,100.765677,-1.296439
K2-6,178.192260,-1.198477
HD 19994,48.193485,-1.196101
