pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 220689,2209.,3.36,0.16,1.06,45.23,1.04,2014-05-14,22.11
HD 104067,55.806,0.2643,0.,0.186,20.82,0.79,2014-05-14,48.04
WASP-16,3.1186009,0.0421,0.,0.855,,1.02,2014-05-14,
HATS-9,1.9153073,0.03048,0.129,0.837,622.,1.03,2015-05-21,
WASP-67,4.61442,0.0517,0.2,0.42,225.,0.87,2014-05-14,
HD 1666,270.,0.94,0.63,6.43,110.62,1.5,2015-04-01,9.04
K2-32,20.65614,,0.,0.02549,,0.87,2016-05-05,
K2-32,31.71922,,0.,0.11012,,0.87,2016-05-05,
K2-32,8.99218,,0.,0.06639,,0.87,2016-05-05,
HD 11506,1627.5,2.708,0.37,4.21,51.7,1.24,2014-12-03,
HD 11506,223.6,0.721,0.24,0.36,51.7,1.24,2014-12-03,
HATS-15,1.74748753,0.02712,0.126,2.17,689.,0.87,2016-06-23,
HD 156846,359.5546,1.096,0.84785,10.57,49.,1.35,2014-05-14,20.41
K2-33,5.42513,0.0409,0.,3.6,139.,0.31,2016-06-23,
WASP-68,5.084298,0.06206,0.,0.95,,1.24,2014-05-14,
WASP-83,4.971252,0.059,0.,0.3,300.,1.11,2015-07-09,
7 CMa,796.,1.93,0.22,2.46,19.84,1.52,2015-10-22,50.41
WASP-31,3.4059096,0.04659,0.,0.478,360.,1.16,2014-05-14,
HATS-6,3.3252725,0.03623,0.,0.319,148.4,0.57,2015-05-14,
WASP-89,3.3564227,0.0427,0.193,5.9,,0.92,2015-07-09,
HIP 79431,111.7,0.36,0.29,2.1,14.9,,2014-05-14,67.13
HD 141937,653.22,1.4877,0.41,9.316,33.46,1.03,2014-11-19,29.89
USco CTIO 108,,670.,,14.,,0.06,2015-05-14,
61 Vir,123.01,0.476,0.35,0.072,8.52,0.94,2014-05-14,117.3
61 Vir,4.215,0.050201,0.12,0.016,8.52,0.94,2014-05-14,117.3
61 Vir,38.021,0.2175,0.14,0.057,8.52,0.94,2014-05-14,117.3
WASP-55,4.4656291,0.0558,,0.627,330.,1.16,2016-02-25,
HD 125612,3008.,4.2,0.28,7.2,52.83,1.09,2014-05-14,18.93
HD 125612,559.4,1.37,0.46,3.,52.83,1.09,2014-05-14,18.93
HD 125612,4.1547,0.05,0.27,0.058,52.83,1.09,2014-05-14,18.93
HD 212771,373.3,1.22,0.111,2.3,121.8,1.15,2014-05-14,8.21
WASP-49,2.7817387,0.0379,0.,0.378,170.,0.94,2014-05-14,
BD-17 63,655.6,1.34,0.54,5.1,37.54,0.74,2014-05-14,26.64
HD 86264,1475.,2.86,0.7,7.,72.57,,2015-04-24,13.78
WASP-26,2.7566004,0.03985,0.,1.028,250.,1.11,2014-05-14,
HD 33844,916.,2.24,0.13,1.75,100.9,1.78,2016-01-14,
HD 33844,551.4,1.6,0.15,1.96,100.9,1.78,2016-01-14,
PSR J1719-1438,0.09070629,0.0044,0.06,1.2,1200.,1.4,2014-05-14,
K2-21,9.32414,0.0731,,,65.,0.64,2015-09-18,
K2-21,15.5012,0.1026,,,65.,0.64,2015-09-18,
GJ 876,124.26,0.3343,0.055,0.046,4.7,0.33,2014-08-27,212.69
GJ 876,61.1166,0.208317,0.0324,2.2756,4.7,0.33,2014-08-27,212.69
GJ 876,30.0881,0.12959,0.25591,0.7142,4.7,0.33,2014-08-27,212.69
GJ 876,1.93778,0.020807,0.207,0.021,4.7,0.33,2014-08-27,212.69
HD 33142,326.6,1.06,0.12,1.3,136.8,1.48,2014-05-14,7.31
BD-13 2130,714.3,2.1,0.21,10.6,766.,2.4,2015-05-14,
WASP-70 A,3.7130203,0.04853,0.,0.59,245.,1.11,2014-10-15,
HD 148427,331.5,0.93,0.16,0.96,59.28,,2014-05-14,16.87
VHS J125601.92-125723.9,,102.,,11.2,12.7,0.07,2015-05-14,78.8
Wolf 1061,17.867,0.08427,0.19,0.01337,4.29,0.25,2016-01-05,
Wolf 1061,4.8876,0.035509,0.,0.00428,4.29,0.25,2016-01-05,
Wolf 1061,67.27,0.2039,0.32,0.01639,4.29,0.25,2016-01-05,
HD 69830,8.667,0.0785,0.1,0.0321,12.58,0.86,2015-03-26,79.48
HD 69830,31.56,0.186,0.13,0.0371,12.58,0.86,2015-03-26,79.48
HD 69830,197.,0.63,0.07,0.057,12.58,0.86,2015-03-26,79.48
HD 82943,441.47,1.18306,0.162,1.681,27.46,1.2,2014-05-14,36.42
HD 82943,220.078,0.74345,0.3663,1.959,27.46,1.2,2014-05-14,36.42
HD 103774,5.8881,0.07,0.09,0.367,53.08,1.33,2014-05-14,18.84
WASP-47,572.,1.36,0.13,1.24,200.,1.04,2015-10-15,
WASP-47,9.03081,,,0.04782,200.,1.04,2015-10-15,
WASP-47,4.1591287,,,1.0729,200.,1.04,2015-10-15,
WASP-47,0.789597,,,0.06922,200.,1.04,2015-10-15,
WASP-44,2.4238039,0.03473,0.,0.889,,0.95,2014-05-14,
HD 168746,6.404,0.0659,0.107,0.248,43.12,0.93,2014-06-25,23.19
BD-11 4672,1667.,2.28,0.05,0.53,27.3,0.57,2015-01-08,36.65
HD 109271,30.93,0.196,0.15,0.076,56.92,1.05,2014-05-14,17.57
HD 109271,7.8543,0.079,0.25,0.054,56.92,1.05,2014-05-14,17.57
WASP-50,1.9550959,0.02945,0.009,1.468,230.,0.89,2014-05-14,
BD-10 3166,3.48777,0.0452,0.019,0.458,80.,1.01,2014-08-27,
HD 44219,472.3,1.19,0.61,0.58,50.4,1.,2015-01-22,19.83
WASP-75,2.484193,0.0375,0.,1.07,260.,1.14,2014-05-14,
HD 28185,385.9,1.032,0.092,5.59,39.6,0.98,2014-05-14,
HD 96167,498.9,1.3,0.71,0.68,84.03,1.31,2015-05-14,11.9
HD 11964,37.91,0.229,0.3,0.0788,33.98,1.12,2014-05-14,29.43
HD 11964,1945.,3.16,0.041,0.622,33.98,1.12,2014-05-14,29.43
WASP-43,0.813475,0.0142,0.,1.78,80.,0.58,2014-05-14,
nu Oph,3186.,6.1,0.165,27.,46.84,3.04,2015-09-03,21.35
nu Oph,530.32,1.9,0.1256,24.,46.84,3.04,2015-09-03,21.35
HD 168443,58.11247,0.2931,0.52883,7.659,37.88,0.99,2014-06-25,26.4
HD 168443,1749.83,2.8373,0.2113,17.193,37.88,0.99,2015-02-05,26.4
BD-08 2823,5.6,0.056,0.15,0.045,42.09,0.74,2014-05-14,23.76
BD-08 2823,237.6,0.68,0.19,0.33,42.09,0.74,2014-05-14,23.76
HD 106270,2890.,4.3,0.402,11.,87.87,1.32,2014-05-14,11.38
eps Eri,2502.,3.39,0.702,1.55,3.21,0.83,2015-09-03,311.37
91 Aqr,181.4,0.7,0.027,3.2,45.52,1.4,2014-05-14,21.97
K2-39,4.60543,0.062,0.,0.15826,,1.53,2016-06-03,
HD 38801,696.3,1.7,0.,10.7,99.4,1.36,2014-05-14,10.06
WASP-157,3.9516205,0.0529,0.,0.574,,1.26,2016-06-23,
HD 1690,533.,1.3,0.64,6.1,7.01,1.09,2014-05-14,43.42
HD 6718,2496.,3.56,0.1,1.56,54.9,0.96,2015-03-26,18.23
HD 1461,5.77152,0.0634,0.172,0.02026,23.44,1.02,2015-11-19,42.67
HD 1461,13.5052,0.1117,0.305,0.01759,23.44,1.02,2015-11-19,42.67
WASP-36,1.53736596,0.02677,,2.361,450.,1.08,2016-04-07,
HD 110014,835.477,2.14,0.462,11.09,90.,2.17,2014-05-14,11.11
K2-28,2.260455,0.0214,0.,,53.,0.26,2016-02-25,
GJ 581,3.149,0.02815,0.,0.0053,6.27,0.31,2014-07-09,159.52
GJ 581,5.3686,0.04061,0.,0.0497,6.27,0.31,2014-07-09,159.52
GJ 581,12.914,0.0721,0.,0.0173,6.27,0.31,2014-07-09,159.52
HD 210277,442.19,1.138,0.476,1.29,21.29,1.01,2014-11-19,46.97
HD 206610,610.,1.68,0.229,2.2,170.07,1.56,2014-05-14,5.88
HD 106515 A,3630.,4.59,0.572,9.61,36.36,0.97,2014-05-14,27.5
WASP-77 A,1.3600309,0.024,0.,1.76,93.,1.,2014-05-14,
Qatar-2,1.33711647,0.02153,0.,2.494,,0.74,2014-11-05,
CoRoT-17,3.7681,0.0461,0.,2.43,920.,1.04,2014-05-14,
WASP-35,3.161575,0.04317,0.,0.72,,1.07,2014-05-14,
CoRoT-16,5.35227,0.0618,0.33,0.535,840.,1.1,2014-05-14,
BD-06 1339,3.8728,0.0428,0.,0.027,20.1,0.7,2014-05-14,49.74
BD-06 1339,125.94,0.435,0.31,0.17,20.1,0.7,2014-05-14,49.74
HD 222582,572.38,1.347,0.725,7.75,41.95,0.99,2014-07-23,23.84
HD 2638,3.4442,0.044,0.,0.48,53.71,0.93,2014-11-19,18.62
HD 30562,1159.2,2.315,0.778,1.373,26.5,1.23,2014-05-14,37.73
CoRoT-14,1.51214,0.027,0.,7.6,1340.,1.13,2014-05-14,
HD 52265,119.6,0.5,0.35,1.05,28.07,1.18,2015-03-26,35.63
HD 126614,1244.,2.35,0.41,0.38,68.35,1.15,2014-05-14,14.63
WASP-69,3.8681382,0.04525,0.,0.26,50.,0.83,2014-10-15,
CoRoT-13,4.03519,0.051,0.,1.308,1060.,1.09,2014-05-14,
WASP-106,9.289715,0.0917,0.,1.925,283.,1.19,2014-09-25,
HD 7449,1275.,2.3,0.82,1.11,38.52,1.05,2014-05-14,25.96
TRAPPIST-1,2.421848,0.01522,0.,,12.1,0.08,2016-05-05,
TRAPPIST-1,1.510848,0.01111,0.,,12.1,0.08,2016-05-05,
TRAPPIST-1,18.202,,0.,,12.1,0.08,2016-05-05,
HD 100777,383.7,1.03,0.36,1.16,52.8,1.01,2014-05-14,18.94
GJ 849,1845.,2.32,0.05,0.91,8.77,0.49,2014-08-27,113.97
K2-4,10.00329,0.0777,,,,0.63,2015-07-16,
HD 86081,2.1375,0.035,0.008,1.5,91.16,1.21,2015-04-16,10.97
CoRoT-24,5.1134,0.056,0.,0.018,600.,0.91,2014-06-11,
CoRoT-24,11.759,0.098,0.,0.088,600.,0.91,2014-06-11,
HD 16141,75.523,0.363,0.252,0.26,35.91,1.12,2014-05-14,27.85
WASP-39,4.055259,0.0486,0.,0.28,230.,0.93,2014-05-14,
81 Cet,952.7,2.5,0.206,5.3,97.18,2.4,2014-05-14,10.29
HAT-P-45,3.128992,0.0452,0.049,0.892,305.,1.26,2014-05-14,
HD 107148,48.056,0.269,0.05,0.21,51.26,1.12,2014-05-14,19.51
CoRoT-1,1.5089557,,0.,1.03,,0.95,2014-05-14,
HAT-P-46,4.463129,0.0577,0.123,0.493,296.,1.28,2014-05-14,
HD 103720,4.5557,0.0498,0.086,0.62,41.6,0.79,2015-01-08,24.05
HD 179079,14.476,0.1216,0.115,0.0866,63.69,1.15,2014-07-09,15.7
HD 96063,361.1,0.99,0.03,0.9,132.8,1.02,2014-05-14,7.53
51 Eri,,13.2,,2.,29.4,1.75,2015-08-14,
HD 217107,4270.,5.32,0.517,2.6,19.72,1.02,2014-05-14,50.71
HD 217107,7.126816,0.0748,0.1267,1.39,19.72,1.02,2014-05-14,50.71
HD 290327,2443.,3.43,0.08,2.54,56.7,0.9,2014-11-19,17.65
HD 114783,493.7,1.16,0.144,1.1,20.4,0.85,2014-05-14,
HD 218566,225.7,0.6873,0.3,0.21,29.94,0.85,2014-05-14,33.4
HD 92788,325.,0.96,0.35,3.58,32.32,1.1,2015-04-24,30.94
WASP-80,3.06785234,0.0344,0.002,0.538,60.,0.58,2015-04-16,
WASP-57,2.83891856,0.03769,,0.644,455.,0.89,2015-10-15,
NY Vir,2985.7,,0.44,2.78,,,2014-09-25,
K2-5,10.93406,0.0783,,,,0.53,2015-07-16,
K2-5,5.73491,0.0509,,,,0.53,2015-07-16,
WASP-28,3.40883,0.04469,0.,0.907,410.,1.02,2015-03-05,
HD 72659,3658.,4.74,0.22,3.15,51.4,1.06,2016-03-10,
HD 99109,439.3,1.105,0.09,0.502,60.46,0.93,2014-07-23,16.54
K2-3,44.5705,0.2086,0.045,0.03492,42.,0.61,2015-10-15,
K2-3,24.6491,0.1405,0.04,0.00661,42.,0.61,2015-10-15,
K2-3,10.05429,0.0775,0.06,0.02643,42.,0.61,2015-10-15,
CoRoT-12,2.828042,0.04016,0.07,0.917,1150.,1.08,2014-05-14,
K2-6,30.94191,0.1898,,,,0.97,2015-07-16,
HD 19994,466.2,1.305,0.063,1.37,22.38,1.37,2014-05-14,44.69
HD 66428,1973.,3.18,0.465,2.82,55.04,1.1,2014-07-23,18.17
WASP-74,2.13775,0.037,0.,0.95,120.,1.48,2015-07-09,
K2-7,28.67992,0.1814,,,,0.97,2015-07-16,
CoRoT-7,0.85359159,0.017016,0.,0.018,153.7,0.91,2015-03-05,
CoRoT-7,3.698,0.046,0.,0.02643,153.7,0.91,2015-09-10,
75 Cet,691.9,2.1,0.117,3.,81.5,2.49,2015-09-03,12.27
24 Sex,452.8,1.333,0.09,1.99,74.79,1.54,2014-05-14,13.37
24 Sex,883.,2.08,0.29,0.86,74.79,1.54,2014-05-14,13.37
HD 192263,24.3587,0.15312,0.008,0.733,19.89,0.81,2015-03-26,50.27
HIP 97233,1058.8,2.55,0.61,20.,106.5,1.93,2014-10-03,9.39
CoRoT-4,9.20205,0.09,0.,0.72,,1.16,2014-05-14,
HD 217786,1319.,2.38,0.4,13.,54.8,1.02,2014-05-14,18.23
K2-8,10.35176,0.0856,,,,0.79,2015-07-16,
HD 130322,10.70871,0.0925,0.029,1.15,29.76,0.92,2015-02-19,33.6
CoRoT-19,3.89713,0.0518,0.047,1.11,770.,1.21,2014-05-14,
WASP-54,3.6936411,0.04987,0.067,0.636,200.,1.21,2014-05-14,
CoRoT-18,1.9000693,0.0295,0.08,3.47,870.,0.95,2014-05-14,
K2-9,18.4498,0.091,,,110.,0.3,2016-01-21,
HD 164509,282.4,0.875,0.26,0.48,51.81,1.13,2014-06-25,19.3
CoRoT-3,4.2568,,0.,21.66,680.,1.37,2014-05-14,
CoRoT-20,9.24285,0.0902,0.562,4.24,1230.,1.14,2014-05-14,
HIP 116454,9.1205,0.0906,0.205,0.037,55.2,0.78,2014-12-19,18.1
K2-19,2.50856,,0.,0.04405,291.,0.95,2016-05-05,
K2-19,7.921101,0.0762,0.119,0.13844,291.,0.95,2015-11-19,
K2-19,11.90727,0.1001,,0.05003,291.,0.95,2015-11-19,
CoRoT-10,13.2406,0.1055,0.53,2.75,345.,0.89,2014-05-14,
WASP-71,2.9036747,0.04619,0.,2.242,345.,1.56,2014-05-14,
HD 5319,641.,1.6697,0.02,1.76,114.,1.51,2014-12-03,
HD 5319,886.,2.071,0.15,1.15,114.,1.51,2014-12-03,
CoRoT-5,4.0378962,0.04947,0.09,0.467,,1.,2014-05-14,
WASP-37,3.577469,0.0446,0.,1.8,343.,0.93,2014-05-14,
HD 38529,2140.2,3.712,0.341,13.38,42.4,1.48,2014-05-14,
HD 38529,14.3098,0.131,0.257,0.839,42.4,1.48,2014-05-14,
WASP-32,2.718659,0.0394,0.018,3.6,,1.1,2014-05-14,
K2-27,6.77145,,0.16,0.09156,,0.89,2016-02-11,
CoRoT-2,1.7429935,0.02798,0.0143,3.47,200.,0.96,2014-05-14,
CoRoT-8,6.21229,0.063,0.,0.22,380.,0.88,2014-05-14,
GJ 328,4100.,4.5,0.37,2.3,20.03,0.69,2014-05-14,49.92
K2-10,19.3044,,0.31,0.08495,271.,0.92,2016-02-11,
HD 95089,507.,1.51,0.157,1.2,149.03,1.58,2014-05-14,6.71
HD 70573,851.8,1.76,0.4,6.1,45.7,1.,2015-03-26,
WASP-84,8.5234865,0.0771,0.,0.694,125.,0.84,2014-10-15,
WASP-82,2.705782,0.0447,0.,1.24,200.,1.63,2016-01-21,
K2-11,39.93767,0.2257,,,2019.,1.35,2015-07-16,
HD 149143,4.088,0.052,0.08,1.36,63.49,1.1,2016-03-10,15.75
ome Ser,277.02,1.1,0.106,1.7,80.64,2.17,2014-05-14,12.4
K2-12,8.28212,0.0802,,,294.,1.01,2015-07-16,
HD 66141,480.5,1.2,0.07,6.,80.06,1.1,2014-05-14,12.49
WASP-24,2.34121242,0.03651,0.,1.071,,1.18,2014-05-14,
K2-13,39.91488,0.2114,,,290.,0.8,2015-07-16,
K2-14,8.36802,0.0627,,,219.,0.47,2015-07-16,
K2-22,0.381078,0.0088,,1.4,225.,0.6,2015-10-15,
WASP-76,1.809886,0.033,0.,0.92,120.,1.46,2016-01-21,
HD 10442,1043.,2.335,0.11,2.1,,1.56,2014-12-03,
HD 12484,58.83,0.297,0.07,2.98,51.1,1.01,2016-02-25,19.61
HD 102195,4.113775,,0.,0.45,28.98,0.87,2014-05-14,34.51
HD 99492,17.054,0.123,0.07,0.079,55.7,0.85,2016-03-10,
HD 102329,778.1,2.03,0.211,5.9,138.5,1.95,2014-05-14,7.22
HD 200964,613.8,1.601,0.04,1.85,68.35,1.44,2014-05-14,14.63
HD 200964,825.,1.95,0.181,0.895,68.35,1.44,2014-05-14,14.63
HAT-P-26,4.234516,0.0479,0.124,0.059,134.,0.82,2014-05-14,
K2-15,11.8104,0.091,,,437.,0.72,2015-07-16,
HD 175541,297.3,1.03,0.33,0.61,127.55,1.65,2014-07-09,7.84
CoRoT-23,3.6313,0.048,0.16,2.8,600.,1.14,2014-05-14,
K2-16,7.62067,0.0662,,,324.,0.67,2015-07-16,
K2-16,19.07536,0.122,,,324.,0.67,2015-07-16,
HD 28678,387.1,1.25,0.168,1.7,168.92,1.74,2014-05-14,5.92
HD 74156,51.645,0.292,0.627,1.8,64.6,1.24,2014-05-14,
HD 74156,2473.,3.85,0.432,8.06,64.6,1.24,2014-05-14,
HD 192699,345.53,1.15,0.129,2.4,67.39,1.68,2014-08-21,14.84
HAT-P-41,2.694047,0.0426,0.,0.8,344.,1.42,2014-05-14,
HAT-P-35,3.646706,0.0498,0.025,1.054,535.,1.24,2014-05-14,
GJ 1214,1.58040456,0.01411,,0.0197,,0.16,2015-12-03,77.2
HD 46375,3.023573,0.0398,0.063,0.226,33.41,0.92,2014-07-23,29.93
CoRoT-27,3.57532,0.0476,0.065,10.39,,1.05,2014-05-14,
CoRoT-28,5.20851,0.0603,0.047,0.484,560.,1.01,2015-04-16,
HD 159243,12.62,0.11,0.02,1.13,68.59,1.12,2014-05-14,14.58
HD 159243,248.4,0.8,0.075,1.9,68.59,1.12,2014-05-14,14.58
HAT-P-30,2.810595,0.0419,0.035,0.711,193.,1.24,2014-05-14,
CoRoT-11,2.99433,0.0436,0.,2.33,560.,1.27,2014-05-14,
HAT-P-27,3.039577,0.04,0.,0.62,204.,0.94,2014-05-14,
HD 37605,2720.,3.814,0.013,3.366,42.88,1.,2014-05-14,23.32
HD 37605,55.01307,0.2831,0.6767,2.802,42.88,1.,2015-02-05,23.32
HAT-P-42,4.641878,0.0575,0.,1.044,447.,1.18,2014-05-14,
CoRoT-9,95.2738,0.407,0.11,0.84,460.,0.99,2014-05-14,
CoRoT-22,9.75598,0.092,0.077,0.038,592.,1.1,2014-08-21,
K2-17,17.96753,0.119,,,134.,0.71,2015-07-16,
WASP-2,2.152226,0.03138,,0.915,166.,0.89,2014-10-29,6.03
GJ 179,2288.,2.41,0.21,0.82,12.12,0.36,2014-05-14,82.52
CoRoT-29,2.85057,0.0386,0.082,0.85,765.,0.97,2015-04-16,
CoRoT-25,4.86069,0.0578,0.,0.27,1000.,1.09,2014-05-14,
CoRoT-6,8.886593,0.0855,0.1,2.96,,1.05,2014-05-14,
HD 171028,550.,1.32,0.59,1.98,90.,0.99,2014-07-02,
CoRoT-26,4.20474,0.0526,0.,0.52,1670.,1.09,2014-05-14,
WASP-90,3.916243,0.0562,0.,0.63,340.,1.55,2016-01-21,
WASP-103,0.925542,0.01985,,1.49,470.,1.22,2014-05-14,
HD 34445,1049.,2.07,0.27,0.79,45.01,1.07,2014-05-14,22.22
WASP-104,1.7554137,0.02918,0.,1.272,143.,1.08,2014-09-25,
K2-18,32.94488,0.1491,,,34.,0.41,2015-07-16,
HD 4313,356.,1.19,0.041,2.3,131.41,1.72,2014-05-14,7.61
HD 183263,3070.,4.35,0.239,3.57,52.83,1.17,2014-07-23,18.93
HD 183263,626.5,1.51,0.3567,3.67,52.83,1.17,2014-07-23,18.93
xi Aql,136.75,0.68,0.,2.8,62.66,2.2,2014-05-14,15.96
WASP-65,2.3114243,0.0334,0.,1.55,310.,0.93,2014-05-14,
HD 220773,3724.7,4.94,0.51,1.45,48.43,,2014-05-14,20.65
WASP-52,1.7497798,0.0272,0.,0.46,140.,0.87,2014-05-14,
bet Cnc,605.2,1.7,0.08,7.8,89.05,1.7,2014-05-14,11.23
GJ 504,,43.5,,4.,17.95,1.22,2014-05-14,55.71
HD 128311,921.538,1.74,0.159,3.789,,0.83,2015-06-25,60.53
HD 128311,453.019,1.084,0.303,1.769,,0.83,2015-06-25,60.53
WASP-38,6.871815,0.07522,0.0314,2.691,110.,1.2,2014-05-14,
HD 106252,1531.,2.611,0.482,6.92,37.4,1.01,2014-05-14,
HAT-P-43,3.332687,0.0443,0.,0.662,542.,1.05,2014-05-14,
CFBDSIR J145829+101343,10037.5,2.6,,10.5,23.1,0.02,2014-05-14,43.3
HAT-P-57,2.465295,0.0406,0.,1.85,303.,1.47,2015-11-05,
18 Del,993.3,2.6,0.08,10.3,73.1,2.3,2014-05-14,13.68
HD 45652,43.6,0.23,0.38,0.47,36.14,0.83,2015-03-26,27.67
HD 196885,1333.,2.37,0.48,2.58,32.99,1.28,2014-08-21,30.31
NGC 2682 Sand 364,121.71,,0.35,1.54,,1.35,2014-05-14,
HD 170469,1145.,2.1,0.11,0.67,64.98,1.14,2014-07-02,15.39
NGC 2682 YBP 1194,6.958,,0.24,0.34,,1.01,2014-05-14,
NGC 2682 YBP 1514,5.118,,0.39,0.4,,0.96,2014-05-14,
HD 152581,689.,1.48,0.074,1.5,182.82,0.93,2014-05-14,5.47
HAT-P-50,3.1220109,0.0453,0.115,1.35,497.,1.27,2015-11-19,
HD 31253,466.,1.26,0.3,0.5,53.82,1.23,2014-05-14,18.58
Ross 458,,1168.,,6.28536,11.43,,2014-05-14,87.5
HD 89307,2157.,3.27,0.241,1.78,30.88,,2015-04-24,32.38
PSR B1257+12,25.262,0.19,0.,0.00006,600.,,2015-04-30,
PSR B1257+12,66.5419,0.36,0.0186,0.01353,600.,,2015-04-30,
PSR B1257+12,98.2114,0.46,,0.01227,600.,,2015-04-30,
NN Ser,5573.55,5.35,0.08,7.33,500.,0.54,2014-05-14,
NN Ser,2883.5,3.43,0.19,2.3,500.,0.54,2014-05-14,
HD 73534,1770.,3.067,0.074,1.103,81.,1.23,2015-03-26,
HD 75784,341.7,1.073,0.13,1.15,68.7,1.41,2014-12-03,
HD 145934,2730.,4.6,0.053,2.28,,1.75,2015-01-08,
70 Vir,116.6926,0.481,0.399,7.4,18.11,1.09,2015-04-24,55.22
HD 1502,431.8,1.31,0.101,3.1,167.5,1.61,2014-05-14,5.97
HD 102272,127.58,0.614,0.05,5.9,164.2,1.9,2014-05-14,2.76
HAT-P-24,3.35524,0.0465,0.067,0.685,396.,1.19,2014-05-14,
BD+15 2375,153.22,0.576,0.001,1.061,774.,1.08,2016-02-04,
BD+14 4559,268.94,0.777,0.29,1.47,50.03,0.86,2014-05-14,19.99
HN Peg,,773.,,21.9987,18.39,,2014-05-14,54.37
K2-25,3.484552,,0.27,,45.7,0.29,2016-01-05,
HD 285507,6.0881,,0.086,0.917,42.43,0.73,2014-05-14,23.57
GJ 3470,3.3366487,0.031,0.017,0.043,25.2,0.51,2014-07-23,
HD 142245,1299.,2.77,0.09,1.9,106.38,1.69,2014-05-14,9.4
BD+15 2940,137.48,0.539,0.26,1.11,175.44,1.1,2014-05-14,1.71
HD 210702,354.8,1.2,0.094,1.9,55.93,1.68,2015-09-03,17.88
2MASS J21402931+1625183 A,7336.5,,0.26,20.95,25.,0.08,2014-05-14,
WISEP J121756.91+162640.2 A,,8.,,22.,10.1,0.03,2014-05-14,99.
HD 231701,141.6,0.53,0.1,1.08,108.46,1.14,2014-11-19,9.22
alf Tau,628.96,1.46,0.1,6.47,20.43,1.13,2015-06-04,48.94
HAT-P-23,1.21288287,0.02302,0.,2.07,393.,1.1,2015-03-26,
GU Psc,,2000.,,11.3,48.,0.33,2014-05-14,
tau Boo,3.3124568,0.049,0.011,4.32,15.6,1.34,2015-04-16,64.12
HD 24040,3668.,4.92,0.04,4.01,46.51,1.18,2014-05-14,21.5
HD 114762,83.9151,0.353,0.3354,10.98,40.57,0.83,2014-12-17,24.65
11 Com,326.03,1.29,0.231,19.4,110.62,2.7,2014-05-14,9.04
HAT-P-39,3.54387,0.0509,0.,0.599,642.,1.4,2014-05-14,
DP Leo,10220.,8.19,0.39,6.05,,0.69,2014-05-14,
HAT-P-34,5.452654,0.0677,0.441,3.328,257.,1.39,2014-05-14,
HD 88133,3.41587,0.0472,0.133,0.299,74.46,1.2,2015-04-16,13.43
HD 131496,883.,2.09,0.163,2.2,121.36,1.61,2014-05-14,8.24
WASP-21,4.322482,0.052,0.,0.3,242.,0.89,2014-05-14,
HD 219828,4791.,5.96,0.8115,15.1,77.9,1.23,2016-06-03,12.83
HD 219828,3.834887,0.045,0.059,0.06607,77.9,1.23,2016-06-03,12.83
HD 195019,18.20132,0.1388,0.0138,3.69,37.35,1.07,2014-07-23,26.77
HD 209458,3.52474859,,,,47.08,1.1,2014-08-21,21.24
HD 285968,8.7836,0.066,0.,0.026,9.42,0.45,2014-11-19,106.16
eps Tau,594.9,1.93,0.151,7.6,47.53,2.7,2014-05-14,21.04
Pr0211,4850.,5.5,0.71,7.79,,0.94,2016-02-11,
Pr0211,2.1461,0.03176,0.011,1.88,,0.94,2016-02-11,
TYC 1422-614-1,198.4,0.69,0.06,2.5,759.,1.15,2014-10-29,
TYC 1422-614-1,559.3,1.37,0.048,10.,759.,1.15,2014-10-29,
gam 1 Leo,428.5,1.19,0.144,8.78,38.52,1.23,2014-05-14,25.96
BD+20 2457,379.63,1.45,0.15,21.42,,2.8,2014-05-14,5.
BD+20 2457,621.99,2.01,0.18,12.47,,2.8,2014-05-14,5.
HD 10697,1075.2,2.131,0.099,6.21,32.6,1.11,2014-05-14,
Pr0201,4.4264,,0.,0.54,,1.23,2015-09-10,
HD 5891,177.11,0.76,0.066,7.6,150.6,1.91,2014-05-14,6.64
HD 81040,1001.7,1.94,0.526,6.86,32.56,0.96,2015-04-16,30.71
BD+20 1790,7.78287,0.066,0.22,6.37,25.4,0.63,2015-03-26,
HD 100655,157.57,0.76,0.085,1.7,140.85,2.4,2014-05-14,7.1
HD 4203,437.05,1.1735,0.52,1.82,77.82,1.13,2014-05-14,12.85
HD 4203,6700.,6.95,0.24,2.17,77.82,1.13,2014-05-14,12.85
HD 37124,843.6,1.64,0.14,0.6,33.24,,2014-12-17,30.08
HD 37124,154.46,0.53,0.055,0.61,33.24,,2014-12-17,30.08
HD 37124,2295.,3.19,0.2,0.66,33.24,,2014-12-17,30.08
51 Peg,4.230785,0.0527,0.013,0.472,15.36,1.12,2014-05-14,65.1
BD+20 274,578.2,1.3,0.21,4.2,,0.8,2015-09-18,
HIP 14810,6.673855,0.0692,0.1427,3.88,52.88,0.99,2015-05-14,18.91
HIP 14810,952.,1.89,0.173,0.57,52.88,0.99,2015-05-14,18.91
HIP 14810,147.73,0.545,0.164,1.28,52.88,0.99,2015-05-14,18.91
HR 8799,37000.,24.,,10.,39.4,1.51,2014-05-14,
HR 8799,170000.,68.,,7.,39.4,1.51,2014-05-14,
HR 8799,18000.,14.5,,,39.4,1.51,2014-05-14,
HR 8799,69000.,38.,,10.,39.4,1.51,2014-05-14,
